,GameType,Date,WinningTeam,AwayTeam,AwayScore,HomeTeam,HomeScore
564,regular,October 22 2019,TOR,NOP,122,TOR,130
1025,regular,October 22 2019,LAC,LAL,102,LAC,112
1515,regular,October 23 2019,CHO,CHI,125,CHO,126
2001,regular,October 23 2019,DET,DET,119,IND,110
2455,regular,October 23 2019,ORL,CLE,85,ORL,94
3008,regular,October 23 2019,MIN,MIN,127,BRK,126
3553,regular,October 23 2019,MIA,MEM,101,MIA,120
4102,regular,October 23 2019,PHI,BOS,93,PHI,107
4597,regular,October 23 2019,DAL,WAS,100,DAL,108
5079,regular,October 23 2019,SAS,NYK,111,SAS,120
5583,regular,October 23 2019,UTA,OKC,95,UTA,100
6089,regular,October 23 2019,PHO,SAC,95,PHO,124
6574,regular,October 23 2019,DEN,DEN,108,POR,100
7031,regular,October 24 2019,ATL,ATL,117,DET,100
7556,regular,October 24 2019,MIL,MIL,117,HOU,111
8037,regular,October 24 2019,LAC,LAC,141,GSW,122
8517,regular,October 25 2019,BOS,TOR,106,BOS,112
9025,regular,October 25 2019,MIN,MIN,121,CHO,99
9541,regular,October 25 2019,BRK,NYK,109,BRK,113
10041,regular,October 25 2019,CHI,CHI,110,MEM,102
10519,regular,October 25 2019,DAL,DAL,123,NOP,116
10989,regular,October 25 2019,WAS,WAS,97,OKC,85
11530,regular,October 25 2019,DEN,PHO,107,DEN,108
11993,regular,October 25 2019,POR,POR,122,SAC,112
12448,regular,October 25 2019,LAL,UTA,86,LAL,95
13049,regular,October 26 2019,MIA,MIA,131,MIL,126
13553,regular,October 26 2019,PHI,PHI,117,DET,111
14050,regular,October 26 2019,ATL,ORL,99,ATL,103
14576,regular,October 26 2019,BOS,BOS,118,NYK,95
15068,regular,October 26 2019,TOR,TOR,108,CHI,84
15524,regular,October 26 2019,CLE,IND,99,CLE,110
16034,regular,October 26 2019,HOU,NOP,123,HOU,126
16503,regular,October 26 2019,SAS,WAS,122,SAS,124
16922,regular,October 26 2019,UTA,SAC,81,UTA,113
17445,regular,October 26 2019,PHO,LAC,122,PHO,130
17911,regular,October 27 2019,OKC,GSW,92,OKC,120
18470,regular,October 27 2019,MEM,BRK,133,MEM,134
18972,regular,October 27 2019,POR,POR,121,DAL,119
19448,regular,October 27 2019,MIN,MIA,109,MIN,116
19918,regular,October 27 2019,LAL,CHO,101,LAL,120
20355,regular,October 28 2019,DET,IND,94,DET,96
20842,regular,October 28 2019,NYK,CHI,98,NYK,105
21382,regular,October 28 2019,PHI,PHI,105,ATL,103
21851,regular,October 28 2019,TOR,ORL,95,TOR,104
22364,regular,October 28 2019,HOU,OKC,112,HOU,116
22843,regular,October 28 2019,MIL,CLE,112,MIL,129
23365,regular,October 28 2019,GSW,GSW,134,NOP,123
23864,regular,October 28 2019,SAS,POR,110,SAS,113
24360,regular,October 28 2019,UTA,UTA,96,PHO,95
24850,regular,October 28 2019,DEN,DEN,101,SAC,94
25310,regular,October 28 2019,LAC,CHO,96,LAC,111
25816,regular,October 29 2019,MIA,ATL,97,MIA,112
26266,regular,October 29 2019,DAL,DAL,109,DEN,106
26781,regular,October 29 2019,LAL,MEM,91,LAL,120
27252,regular,October 30 2019,CLE,CHI,111,CLE,117
27683,regular,October 30 2019,ORL,NYK,83,ORL,95
28197,regular,October 30 2019,PHI,MIN,95,PHI,117
28676,regular,October 30 2019,BOS,MIL,105,BOS,116
29174,regular,October 30 2019,IND,IND,118,BRK,108
29606,regular,October 30 2019,TOR,DET,113,TOR,125
30111,regular,October 30 2019,POR,POR,102,OKC,99
30619,regular,October 30 2019,HOU,HOU,159,WAS,158
31052,regular,October 30 2019,CHO,CHO,118,SAC,111
31480,regular,October 30 2019,UTA,LAC,96,UTA,110
31969,regular,October 30 2019,PHO,PHO,121,GSW,110
32434,regular,October 31 2019,MIA,MIA,106,ATL,97
32886,regular,October 31 2019,NOP,DEN,107,NOP,122
33379,regular,October 31 2019,LAC,SAS,97,LAC,103
33878,regular,November 1 2019,BRK,HOU,116,BRK,123
34375,regular,November 1 2019,IND,CLE,95,IND,102
34846,regular,November 1 2019,MIL,MIL,123,ORL,91
35320,regular,November 1 2019,BOS,NYK,102,BOS,104
35791,regular,November 1 2019,CHI,DET,106,CHI,112
36308,regular,November 1 2019,LAL,LAL,119,DAL,110
36752,regular,November 1 2019,SAC,UTA,101,SAC,102
37216,regular,November 1 2019,SAS,SAS,127,GSW,110
37703,regular,November 2 2019,OKC,NOP,104,OKC,115
38180,regular,November 2 2019,DET,BRK,109,DET,113
38646,regular,November 2 2019,DEN,DEN,91,ORL,87
