,Team,Weighted_Result
0,MIL,3.435209828125001
1,LAC,2.7212610054687505
2,BOS,2.1378976093750004
3,DAL,1.8140192656250003
4,TOR,1.7585306804687504
5,LAL,1.4752034242187502
6,MIA,1.0136156039062505
7,HOU,0.7740893632812499
8,OKC,0.7255611703125001
9,UTA,0.57777644765625
10,PHI,0.39213766015625023
11,IND,0.3092273804687501
12,DEN,0.22091951406250004
13,NOP,0.02539041171875033
14,POR,-0.09129318984375007
15,BRK,-0.09567148984375003
16,PHO,-0.10281369765625029
17,SAS,-0.15784339609375006
18,MEM,-0.2690123429687498
19,ORL,-0.48388334218749984
20,CHI,-0.7198150289062504
21,MIN,-0.73346919296875
22,SAC,-0.7833643601562498
23,DET,-1.0946764984375008
24,WAS,-1.4653804531249999
25,NYK,-1.84543690625
26,ATL,-2.1426910257812506
27,CLE,-2.4176352765624993
28,GSW,-2.4417598789062502
29,CHO,-2.53609328515625
